x_value,full_mesh_lcc_mean,full_mesh_lcc_ci,full_mesh_eff_mean,full_mesh_eff_ci,full_mesh_wsurv_mean,full_mesh_wsurv_ci,ring_lcc_mean,ring_lcc_ci,ring_eff_mean,ring_eff_ci,ring_wsurv_mean,ring_wsurv_ci,star_lcc_mean,star_lcc_ci,star_eff_mean,star_eff_ci,star_wsurv_mean,star_wsurv_ci
10.000000,0.510199,0.016227,0.889050,0.019653,0.523386,0.017407,0.232836,0.011332,0.417890,0.017042,0.525718,0.017583,0.068231,0.006940,0.052077,0.007129,0.493949,0.015430
20.000000,0.614665,0.015526,0.958600,0.012463,0.623106,0.017551,0.292280,0.015498,0.486701,0.018048,0.614502,0.019212,0.096074,0.008820,0.080315,0.009073,0.559960,0.016192
30.000000,0.671040,0.018618,0.975200,0.010108,0.680208,0.020026,0.352796,0.016859,0.541466,0.016971,0.684877,0.017118,0.108319,0.009141,0.092931,0.009371,0.612618,0.017112
40.000000,0.760449,0.015767,0.995600,0.003370,0.773003,0.016697,0.414141,0.019373,0.593974,0.015742,0.756915,0.017564,0.141442,0.011347,0.127325,0.011733,0.685043,0.014860
50.000000,0.799599,0.015207,0.999800,0.000397,0.807719,0.014951,0.461464,0.021261,0.634053,0.015322,0.798717,0.016555,0.162708,0.012190,0.149550,0.012629,0.738105,0.015279
60.000000,0.842738,0.013121,1.000000,0.000000,0.847847,0.014329,0.524633,0.020194,0.677378,0.014150,0.852450,0.012755,0.185887,0.012435,0.174033,0.012876,0.789289,0.013156
70.000000,0.893154,0.010799,1.000000,0.000000,0.897552,0.011634,0.587762,0.022149,0.725961,0.014154,0.901543,0.010317,0.201329,0.013838,0.190719,0.014371,0.827171,0.011760
80.000000,0.915861,0.008710,1.000000,0.000000,0.921211,0.008658,0.608793,0.022413,0.739934,0.014588,0.911362,0.010749,0.232913,0.014074,0.223541,0.014566,0.864688,0.009486
90.000000,0.934698,0.005512,1.000000,0.000000,0.940935,0.006051,0.648663,0.018596,0.768481,0.011191,0.936711,0.006251,0.248263,0.016784,0.239711,0.017342,0.885727,0.008439
100.000000,0.941199,0.003823,1.000000,0.000000,0.946252,0.004639,0.683059,0.017300,0.789721,0.010000,0.946469,0.004851,0.263190,0.019023,0.255170,0.019649,0.901826,0.006393
110.000000,0.944794,0.003596,1.000000,0.000000,0.949841,0.004200,0.705269,0.013598,0.804341,0.007495,0.952823,0.003111,0.280532,0.014986,0.273962,0.015446,0.911541,0.005467
120.000000,0.948336,0.002079,1.000000,0.000000,0.953830,0.002888,0.701167,0.015379,0.801803,0.008636,0.952606,0.003402,0.307352,0.014161,0.301935,0.014655,0.919423,0.003520
130.000000,0.949970,0.001938,1.000000,0.000000,0.955638,0.002567,0.702676,0.012802,0.801731,0.007042,0.954977,0.002725,0.302719,0.014815,0.297809,0.015322,0.920533,0.003543
140.000000,0.950015,0.001877,1.000000,0.000000,0.955468,0.002489,0.701272,0.012546,0.800828,0.007006,0.952933,0.003000,0.325173,0.015402,0.320916,0.015978,0.923967,0.002577
150.000000,0.946628,0.001703,1.000000,0.000000,0.951498,0.002770,0.695605,0.011408,0.799286,0.006296,0.954399,0.002404,0.307391,0.014985,0.302350,0.015421,0.922497,0.003613
